Columns,,,,,,,,
Kelurahan,Lokasi,,,,,,,
RAIN_D-1,Hujan sehari sebelum,,,,,,,
RAINFALL_D-1,,,,,,,,
RAIN_LAST3D,Hujan 3 hari sebelum,,,,,,,
ARAINFALL_LAST3D,,,,,,,,
RAIN_LAST7D,Hujan 7 hari sebelum,,,,,,,
RAINFALL_LAST7D,,,,,,,,
TEPS_OF_DAY,Intensitas hujan,,,,,,,
CIPINANG HULU,tinggu air pos cipinang hulu,,,,,,,
SUNTER HULU,tinggi air pos sunter hulu,,,,,,,
PULO GADUNG,tinggi air Pulo gadung,,,,,,,
,,,,,,,,
Unique and encoder,,,,,,,,
kelurahan,balekambang,,,,,,,
,bambu apus,,,,,,,
,batu ampar,,,,,,,
,bidara cina,,,,,,,
,cakung timur,,,,,,,
,cawang,,,,,,,
,cililitan,,,,,,,
,cipayung,,,,,,,
,cipinang,,,,,,,
,cipinang cempedak,,,,,,,
,cipinang melayu,,,,,,,
,cipinang muara,,,,,,,
,ciracas,,,,,,,
,dukuh,,,,,,,
,duren sawit,,,,,,,
,gedong,,,,,,,
,halim perdana kusuma,,,,,,,
,jati,,,,,,,
,jatinegara,,,,,,,
,kampung melayu,,,,,,,
,kampung tengah,,,,,,,
,kayu manis,,,,,,,
,kayu putih,,,,,,,
,kebon manggis,,,,,,,
,kebon pala,,,,,,,
,klender,,,,,,,
,kramatjati,,,,,,,
,lubang buaya,,,,,,,
,makasar,,,,,,,
,malaka sari,,,,,,,
,pekayon,,,,,,,
,penggilingan,,,,,,,
,pinangranti,,,,,,,
,pisangan baru,,,,,,,
,pisangan timur,,,,,,,
,pondok bambu,,,,,,,
,pondok kelapa,,,,,,,
,pulo gadung,,,,,,,
,rambutan,,,,,,,
,rawa bunga,,,,,,,
,rawa terate,,,,,,,
,rawamangun,,,,,,,
,susukan,,,,,,,
,utan kayu selatan,,,,,,,
,utan kayu utara,,,,,,,
RAIN_D-1,0,NO,,,,,,
,1,YES,,,,,,
RAINFALL_D-1,Numeric,,,,,,,
RAIN_LAST3D,0,NO,,,,,,
,1,YES,,,,,,
ARAINFALL_LAST3D,Numeric,,,,,,,
RAIN_LAST7D,0,NO,,,,,,
,1,YES,,,,,,
RAINFALL_LAST7D,Numeric,,,,,,,
TEPS_OF_DAY,0,TIDAK HUJAN,,,,,,
,1,HUJAN RINGAN,,,,,,
,2,HUJAN SEDANG,,,,,,
,3,HUJAN LEBAT,,,,,,
CIPINANG HULU,Numeric,,,,,,,
SUNTER HULU,Numeric,,,,,,,
PULO GADUNG,Numeric,,,,,,,
Kejadian,0,TIDAK BANJIR,,,,,,
,1,BANJIR,,,,,,
